Name,Hash,Id,Tag,Tier,Type,Source,Equippable,Power,Masterwork Type,Masterwork Tier,Owner,Locked,Equipped,Year,Season,Event,DTR Rating,# of Reviews,Mobility,Recovery,Resilience,Notes,Perks 0,Perks 1,Perks 2,Perks 3,Perks 4,Perks 5,Perks 6,Perks 7,Perks 8,Perks 9,Perks 10
Ancient Apocalypse Strides,1169857924,"""6917529088426501346""",,Legendary,Leg Armor,gambit,Hunter,650,Void Damage Resistance,1,Titan(642),false,false,2,4,,5,1,3,0,0,,Mobile Hunter Armor*,Mobility Enhancement Mod*,Plasteel Reinforcement Mod,Tier 1 Armor*,Gambit Leather*,Sidearm Dexterity*,Outreach,Auto Rifle Scavenger*,Submachine Gun Scavenger,,
Wing Discipline,2555965565,"""6917529088666848182""",,Legendary,Leg Armor,crucible,Titan,599,Void Damage Resistance,1,Titan(642),false,false,2,4,,N/A,N/A,1,0,2,,Mobile Titan Armor*,Mobility Enhancement Mod,Plasteel Reinforcement Mod*,Tier 1 Armor*,Crucible Legacy*,Linear Fusion Dexterity,Dynamo*,Hand Cannon Scavenger*,Scout Rifle Scavenger,,
Vigil of Heroes,506100699,"""6917529088666846274""",,Legendary,Titan Mark,strikes,Titan,598,Solar Damage Resistance,1,Titan(642),false,false,2,4,,N/A,N/A,0,0,0,,Tier 1 Armor*,Vanguard Veteran*,Insulation*,Recuperation,Sword Reserves*,,,,,,
Tangled Web Mark,919186882,"""6917529088886063909""",,Legendary,Titan Mark,,Titan,596,Arc Damage Resistance,2,Titan(642),false,false,2,4,,5,1,0,0,0,,Tier 2 Armor*,Recuperation*,Better Already,Linear Fusion Rifle Reserves*,Pulse Rifle Reserves,,,,,,
An Insurmountable Skullfort,197761153,"""6917529086212251898""",,Exotic,Helmet,,Titan,622,,,Titan(642),false,true,1,1,,4.8,8,1,1,1,,Transfusion Matrix*,Mobility Enhancement Mod*,Restorative Mod,Hand Cannon Targeting*,Special Ammo Finder*,,,,,,
Wing Discipline,1464207979,"""6917529088666849498""",,Legendary,Gauntlets,crucible,Titan,599,Solar Damage Resistance,1,Titan(642),false,true,2,4,,N/A,N/A,1,0,2,,Mobile Titan Armor*,Mobility Enhancement Mod,Plasteel Reinforcement Mod*,Tier 1 Armor*,Crucible Legacy*,Auto Rifle Loader,Machine Gun Loader*,Fusion Rifle Scavenger,Heavy Ammo Finder*,,
Wing Discipline,1063904165,"""6917529088660832571""",,Legendary,Chest Armor,crucible,Titan,597,Solar Damage Resistance,3,Titan(642),false,true,2,4,,N/A,N/A,2,1,1,,Mobile Titan Armor*,Plasteel Reinforcement Mod,Restorative Mod*,Tier 3 Armor*,Crucible Legacy*,Unflinching Sniper Aim*,Unflinching Power Aim,Primary Ammo Finder,Special Ammo Finder*,,
Wing Discipline,2555965565,"""6917529097615711580""",,Legendary,Leg Armor,crucible,Titan,671,Solar Damage Resistance,3,Titan(642),false,true,2,4,,5,1,1,0,2,,Heavy Titan Armor*,Mobility Enhancement Mod*,Plasteel Reinforcement Mod,Tier 3 Armor*,Crucible Legacy*,Grenade Launcher Dexterity*,Bomber,Pulse Rifle Scavenger*,Special Ammo Finder,,
Wing Discipline,185853176,"""6917529088666850255""",,Legendary,Titan Mark,crucible,Titan,667,Arc Damage Resistance,2,Titan(642),false,true,2,4,,N/A,N/A,0,0,0,,Tier 2 Armor*,Crucible Legacy*,Insulation*,Invigoration,Shotgun Reserves*,Rocket Launcher Scavenger,,,,,
Foetracer,1667080809,"""6917529086495497733""",,Exotic,Helmet,,Hunter,650,,,Hunter(698),false,false,1,1,,5,3,2,0,1,,Relentless Tracker*,Plasteel Reinforcement Mod*,Restorative Mod,Sidearm Targeting,Heavy Lifting,Hands-On*,Fusion Rifle Reserves,Machine Gun Reserves*,,,
Celestial Nighthawk,1667080810,"""6917529082461768760""",,Exotic,Helmet,,Hunter,646,,,Hunter(698),false,false,1,1,,5,27,1,0,2,,Hawkeye Hack*,Plasteel Reinforcement Mod*,Restorative Mod,Light Reactor,Energy Weapon Targeting*,Power Weapon Targeting,Rocket Launcher Reserves,Special Ammo Finder*,,,
Knucklehead Radar,1667080811,"""6917529082461767439""",,Exotic,Helmet,,Hunter,600,,,Hunter(698),false,false,1,1,,3.6,8,1,1,2,,Nebula Rose*,Upgraded Sensor Pack*,Plasteel Reinforcement Mod*,Restorative Mod,Recovery Mod*,Bow Targeting,Hand Cannon Targeting,Hands-On*,Shotgun Reserves*,Heavy Ammo Finder,
Tangled Web Mask,4261835528,"""6917529097699765219""",,Legendary,Helmet,,Hunter,732,Void Damage Resistance,2,Hunter(698),false,false,2,4,,N/A,N/A,1,0,2,,Heavy Hunter Armor*,Plasteel Reinforcement Mod*,Restorative Mod,Tier 2 Armor*,Submachine Gun Targeting*,Precision Weapon Targeting,Fusion Rifle Reserves*,Sniper Rifle Reserves,,,
Wing Contender,1127237110,"""6917529097620422524""",,Legendary,Helmet,crucible,Hunter,726,Arc Damage Resistance,1,Hunter(698),false,false,2,4,,5,1,2,0,1,,Mobile Hunter Armor*,Plasteel Reinforcement Mod*,Restorative Mod,Tier 1 Armor*,Crucible Legacy*,Kinetic Weapon Targeting*,Energy Weapon Targeting,Fusion Rifle Reserves*,Machine Gun Reserves,,
Vigil of Heroes,575676771,"""6917529097265710419""",,Legendary,Helmet,strikes,Hunter,720,Void Damage Resistance,1,Hunter(698),false,false,2,4,,5,1,1,1,1,,Heavy Hunter Armor*,Plasteel Reinforcement Mod,Restorative Mod*,Tier 1 Armor*,Vanguard Veteran*,Sniper Rifle Targeting*,Heavy Lifting,Sniper Rifle Reserves*,Special Ammo Finder,,
Shards of Galanor,1098931325,"""6917529096212035987""",,Exotic,Gauntlets,,Hunter,655,,,Hunter(698),false,false,2,4,,1.3,7,2,0,1,,Sharp Edges*,Mobility Enhancement Mod*,Plasteel Reinforcement Mod,Sidearm Loader,Large Weapon Loader*,Enhanced Impact Induction,Sword Scavenger,Heavy Ammo Finder*,,,
Wing Contender,2331227463,"""6917529097625246238""",,Legendary,Gauntlets,crucible,Hunter,726,Solar Damage Resistance,1,Hunter(698),false,false,2,4,,N/A,N/A,3,0,0,,Mobile Hunter Armor*,Mobility Enhancement Mod*,Plasteel Reinforcement Mod,Tier 1 Armor*,Crucible Legacy*,Hand Cannon Loader*,Momentum Transfer,Fusion Rifle Scavenger*,Grenade Launcher Scavenger,,
Khepri's Sting,146629029,"""6917529097283605249""",,Exotic,Gauntlets,,Hunter,721,,,Hunter(698),false,false,2,7,,1,21,2,0,1,,Touch of Venom*,Mobility Enhancement Mod*,Plasteel Reinforcement Mod,Submachine Gun Loader,Impact Induction,Momentum Transfer*,Sniper Rifle Scavenger*,Sword Scavenger,,,
Mechaneer's Tricksleeves,4284305243,"""6917529085120998629""",,Exotic,Gauntlets,,Hunter,650,,,Hunter(698),false,false,1,1,,5,1,3,0,0,,Monochromatic*,Spring-Loaded Mounting*,Mobility Enhancement Mod*,Plasteel Reinforcement Mod,Grenade Launcher Loader*,Sidearm Loader,Fastball,Linear Fusion Rifle Scavenger,Heavy Ammo Finder*,,
Tangled Web Grips,3609169817,"""6917529097612782812""",,Legendary,Gauntlets,,Hunter,727,Void Damage Resistance,3,Hunter(698),false,false,2,4,,N/A,N/A,3,0,0,,Mobile Hunter Armor*,Mobility Enhancement Mod*,Plasteel Reinforcement Mod,Tier 3 Armor*,Hand Cannon Loader*,Impact Induction,Sniper Rifle Scavenger*,Sword Scavenger,,,
Liar's Handshake,3295711091,"""6917529096829727206""",,Exotic,Gauntlets,,Hunter,709,,,Hunter(698),false,false,2,6,,5,14,3,0,0,,Cross Counter*,Mobility Enhancement Mod*,Plasteel Reinforcement Mod,Auto Rifle Loader,Momentum Transfer*,Large Weapon Loader,Grenade Launcher Scavenger*,Rocket Launcher Scavenger,,,
Wing Contender,2331227463,"""6917529097201627829""",,Legendary,Gauntlets,crucible,Hunter,715,Void Damage Resistance,3,Hunter(698),false,false,2,4,,5,1,2,1,0,,Survivalist Hunter Armor*,Mobility Enhancement Mod*,Plasteel Reinforcement Mod,Tier 3 Armor*,Crucible Legacy*,Submachine Gun Loader,Light Arms Loader*,Rocket Launcher Scavenger*,Sword Scavenger,,
Shinobu's Vow,1786557270,"""6917529081344927283""",,Exotic,Gauntlets,,Hunter,619,,,Hunter(698),false,false,1,2,,1,3,1,0,2,,New Tricks*,Mobility Enhancement Mod,Plasteel Reinforcement Mod*,Frumious Blue*,Fusion Rifle Loader,Momentum Transfer*,Large Weapon Loader,Grenade Launcher Scavenger*,Sniper Rifle Scavenger,,
Prodigal Vest,2766448160,"""6917529097610577607""",,Legendary,Chest Armor,,Hunter,726,Arc Damage Resistance,1,Hunter(698),false,false,2,4,,5,1,1,1,2,,Survivalist Hunter Armor*,Plasteel Reinforcement Mod*,Restorative Mod,Tier 1 Armor*,Unflinching Auto Rifle Aim*,Unflinching Fusion Rifle Aim,Submachine Gun Reserves,Special Ammo Finder*,,,
Gwisin Vest,4070560770,"""6917529082458804043""",,Exotic,Chest Armor,,Hunter,600,,,Hunter(698),true,false,2,4,,5,2,2,0,2,,Roving Assassin*,Plasteel Reinforcement Mod*,Restorative Mod,Precursor Vex Chrome*,Unflinching Energy Aim,Unflinching Light Arms Aim*,Unflinching Large Arms,Auto Rifle Reserves,Pulse Rifle Reserves*,,
Raiden Flux,419976110,"""6917529085613001575""",,Exotic,Chest Armor,,Hunter,614,,,Hunter(698),false,false,1,1,,5,2,2,0,2,,Synapse Junctions*,Plasteel Reinforcement Mod*,Restorative Mod,Unflinching Submachine Gun Aim,Unflinching Rifle Aim*,Unflinching Large Arms,Bow Reserves*,Submachine Gun Reserves,,,
Tangled Web Vest,2648545535,"""6917529097697543886""",,Legendary,Chest Armor,,Hunter,709,Solar Damage Resistance,1,Hunter(698),false,false,2,4,,N/A,N/A,1,1,2,,Survivalist Hunter Armor*,Plasteel Reinforcement Mod*,Restorative Mod,Tier 1 Armor*,Unflinching Kinetic Aim*,Unflinching Light Arms Aim,Scout Rifle Reserves*,Sidearm Reserves,,,
The Sixth Coyote,4070560771,"""6917529082101664704""",,Exotic,Chest Armor,,Hunter,600,,,Hunter(698),false,false,2,4,,5,5,1,1,2,,Double Dodge*,Plasteel Reinforcement Mod*,Restorative Mod,Precursor Vex Chrome*,Unflinching Pulse Rifle Aim*,Unflinching Sidearm Aim,Enhanced Unflinching Linear Fusion Aim,Auto Rifle Reserves,Pulse Rifle Reserves*,,
Tangled Web Vest,2648545535,"""6917529097211285133""",,Legendary,Chest Armor,,Hunter,717,Arc Damage Resistance,2,Hunter(698),false,false,2,4,,N/A,N/A,1,1,2,,Heavy Hunter Armor*,Plasteel Reinforcement Mod,Restorative Mod*,Tier 2 Armor*,Unflinching Pulse Rifle Aim*,Unflinching Sidearm Aim,Submachine Gun Reserves*,Primary Ammo Finder,,,
Reverie Dawn Hauberk,1593474975,"""6917529097099107207""",,Legendary,Chest Armor,dreaming,Hunter,710,Void Damage Resistance,1,Hunter(698),false,false,2,4,,N/A,N/A,2,0,2,,Mobile Hunter Armor*,Plasteel Reinforcement Mod*,Restorative Mod,Riven's Curse*,Tier 1 Armor*,Burnished Dreams*,Unflinching Fusion Rifle Aim,Unflinching Kinetic Aim,Unflinching Power Aim*,Pulse Rifle Reserves*,Primary Ammo Finder
The Dragon's Shadow,419976108,"""6917529088927771991""",,Exotic,Chest Armor,,Hunter,630,,,Hunter(698),false,false,1,1,,5,8,1,0,3,,Precursor Vex Chrome*,Wraithmetal Mail*,Plasteel Reinforcement Mod*,Restorative Mod,Unflinching Submachine Gun Aim*,Primary Ammo Finder*,,,,,
St0mp-EE5,1245809814,"""6917529086495497894""",,Exotic,Leg Armor,,Hunter,650,,,Hunter(698),false,false,1,1,,4.9,22,3,0,0,,Precursor Vex Chrome*,Hydraulic Boosters*,Mobility Enhancement Mod*,Plasteel Reinforcement Mod,Auto Rifle Dexterity,Bomber,Machine Gun Dexterity*,Scout Rifle Scavenger*,Submachine Gun Scavenger,,
Lucky Pants,1245809812,"""6917529089040867009""",,Exotic,Leg Armor,,Hunter,630,,,Hunter(698),false,false,1,1,,1.1,5,2,0,1,,Precursor Vex Chrome*,Illegally Modded Holster*,Mobility Enhancement Mod*,Plasteel Reinforcement Mod,Perpetuation*,Primary Ammo Finder*,,,,,
Iron Truage Boots,511170376,"""6917529097608220930""",,Legendary,Leg Armor,ironbanner,Hunter,724,Solar Damage Resistance,3,Hunter(698),false,false,2,7,,5,1,1,1,1,,Survivalist Hunter Armor*,Mobility Enhancement Mod*,Plasteel Reinforcement Mod,Tier 3 Armor*,Hand Cannon Dexterity*,Outreach,Scout Rifle Scavenger,Primary Ammo Finder*,Empty Activity Mod Socket*,,
Fr0st-EE5,574694189,"""6917529081089478276""",,Exotic,Leg Armor,,Hunter,650,,,Hunter(698),false,false,1,3,,5,3,3,0,1,,Rapid Cooldown*,Mobility Enhancement Mod*,Plasteel Reinforcement Mod,Resilience Mod*,Precursor Vex Chrome*,Fusion Rifle Dexterity,Hand Cannon Dexterity,Bomber*,Scout Rifle Scavenger,Special Ammo Finder*,
Gemini Jester,1488061763,"""6917529096420861108""",,Exotic,Leg Armor,,Hunter,694,,,Hunter(698),false,false,1,2,,5,4,3,0,0,,Misdirection*,Mobility Enhancement Mod*,Plasteel Reinforcement Mod,Auto Rifle Dexterity,Bomber,Dynamo*,Primary Ammo Finder,Special Ammo Finder*,,,
Tangled Web Strides,2206284939,"""6917529097324826844""",,Legendary,Leg Armor,,Hunter,722,Solar Damage Resistance,2,Hunter(698),false,false,2,4,,N/A,N/A,3,0,1,,Heavy Hunter Armor*,Mobility Enhancement Mod*,Restorative Mod,Tier 2 Armor*,Traction*,Bomber,Auto Rifle Scavenger,Primary Ammo Finder*,,,
Tangled Web Strides,2206284939,"""6917529097612783171""",,Legendary,Leg Armor,,Hunter,726,Solar Damage Resistance,2,Hunter(698),false,false,2,4,,N/A,N/A,3,0,0,,Mobile Hunter Armor*,Mobility Enhancement Mod*,Restorative Mod,Tier 2 Armor*,Grenade Launcher Dexterity*,Outreach,Arrow Scavenger,Special Ammo Finder*,,,
Orpheus Rig,1245809813,"""6917529080984217558""",,Exotic,Leg Armor,,Hunter,646,,,Hunter(698),false,false,1,1,,5,5,3,0,0,,Uncanny Arrows*,Mobility Enhancement Mod*,Plasteel Reinforcement Mod,Paragon Mod*,Pulse Rifle Dexterity,Bomber*,Enhanced Sniper Rifle Dexterity,Scout Rifle Scavenger,Submachine Gun Scavenger*,,
Ancient Apocalypse Cloak,3184912423,"""6917529096214909415""",,Legendary,Hunter Cloak,gambit,Hunter,675,Void Damage Resistance,4,Hunter(698),false,false,2,4,,N/A,N/A,0,0,0,,Tier 4 Armor*,Gambit Leather*,Insulation,Innervation*,Arrow Scavenger,Special Ammo Finder*,,,,,
Wing Contender,1069887756,"""6917529097608215669""",,Legendary,Hunter Cloak,crucible,Hunter,722,Arc Damage Resistance,2,Hunter(698),false,false,2,4,,N/A,N/A,0,0,0,,Tier 2 Armor*,Crucible Legacy*,Recuperation*,Better Already,Sniper Rifle Reserves*,Arrow Scavenger,,,,,
Memory of Cayde Cloak,625602056,"""6917529097009677072""",,Legendary,Hunter Cloak,,Hunter,710,Void Damage Resistance,1,Hunter(698),false,false,2,4,,4.8,56,0,0,0,,Paragon Mod*,Tier 1 Armor*,Insulation*,Heavy Ammo Finder*,,,,,,,
Vigil of Heroes,3670149407,"""6917529097044208751""",,Legendary,Hunter Cloak,strikes,Hunter,708,Solar Damage Resistance,3,Hunter(698),false,false,2,4,,N/A,N/A,0,0,0,,Tier 3 Armor*,Vanguard Veteran*,Insulation*,Better Already,Submachine Gun Reserves*,Sniper Rifle Reserves,,,,,
Tangled Web Cloak,25091086,"""6917529096375669110""",,Legendary,Hunter Cloak,,Hunter,698,Void Damage Resistance,2,Hunter(698),false,false,2,4,,5,2,0,0,0,,Tier 2 Armor*,Invigoration*,Better Already,Sniper Rifle Scavenger*,Sword Scavenger,,,,,,
Wing Contender,1069887756,"""6917529097625250763""",,Legendary,Hunter Cloak,crucible,Hunter,726,Void Damage Resistance,1,Hunter(698),false,false,2,4,,N/A,N/A,0,0,0,,Tier 1 Armor*,Crucible Legacy*,Recuperation*,Better Already,Fusion Rifle Scavenger*,Submachine Gun Scavenger,,,,,
Prodigal Cloak,1693706589,"""6917529097007316079""",,Legendary,Hunter Cloak,,Hunter,707,Arc Damage Resistance,2,Hunter(698),false,false,2,4,,N/A,N/A,0,0,0,,Tier 2 Armor*,Insulation*,Innervation,Fusion Rifle Scavenger*,Sword Scavenger,,,,,,
Wing Contender,1069887756,"""6917529097263312872""",,Legendary,Hunter Cloak,crucible,Hunter,719,Arc Damage Resistance,1,Hunter(698),false,false,2,4,,N/A,N/A,0,0,0,,Tier 1 Armor*,Crucible Legacy*,Insulation,Recuperation*,Arrow Scavenger,Primary Ammo Finder*,,,,,
Prodigal Cloak,1693706589,"""6917529097324826094""",,Legendary,Hunter Cloak,,Hunter,720,Solar Damage Resistance,1,Hunter(698),false,false,2,4,,N/A,N/A,0,0,0,,Tier 1 Armor*,Insulation,Better Already*,Bow Reserves,Sniper Rifle Reserves*,,,,,,
War Mantis Cloak,3437155610,"""6917529097706355997""",,Rare,Hunter Cloak,,Hunter,703,,,Hunter(698),false,false,2,4,,N/A,N/A,0,0,0,,Metallic Sunset*,Insulation*,,,,,,,,,
Solstice Mask (Drained),1126194683,"""6917529097676592010""",,Uncommon,Helmet,,Hunter,700,,,Hunter(698),false,true,2,7,,5,3,1,1,0,,Survivalist Hunter Armor*,Remove Armor Glow*,,,,,,,,,
Solstice Grasps (Drained),2585373098,"""6917529097697551461""",,Uncommon,Gauntlets,,Hunter,700,,,Hunter(698),false,true,2,7,,5,1,1,1,0,,Survivalist Hunter Armor*,Remove Armor Glow*,,,,,,,,,
Solstice Vest (Drained),4242735326,"""6917529097699772032""",,Uncommon,Chest Armor,,Hunter,700,,,Hunter(698),false,true,2,7,,5,1,1,1,1,,Survivalist Hunter Armor*,Remove Armor Glow*,,,,,,,,,
Solstice Strides (Drained),1241704260,"""6917529097699763256""",,Uncommon,Leg Armor,,Hunter,700,,,Hunter(698),false,true,2,7,,5,1,0,1,1,,Survivalist Hunter Armor*,Remove Armor Glow*,,,,,,,,,
Solstice Cloak (Drained),3613939175,"""6917529097692715377""",,Uncommon,Hunter Cloak,,Hunter,700,,,Hunter(698),false,true,2,7,,5,1,0,0,0,,Remove Armor Glow*,,,,,,,,,,
Wing Contender,1127237110,"""6917529086575657180""",,Legendary,Helmet,crucible,Hunter,621,Solar Damage Resistance,1,Vault,false,false,2,4,,5,3,1,1,1,,Survivalist Hunter Armor*,Plasteel Reinforcement Mod*,Restorative Mod,Tier 1 Armor*,Crucible Legacy*,Pump Action*,Precision Weapon Targeting,Shotgun Reserves*,Machine Gun Reserves,,
Tangled Web Vest,2648545535,"""6917529097394117483""",,Legendary,Chest Armor,,Hunter,697,Arc Damage Resistance,2,Vault,false,false,2,4,,N/A,N/A,1,1,2,,Survivalist Hunter Armor*,Plasteel Reinforcement Mod*,Restorative Mod,Tier 2 Armor*,Unflinching Auto Rifle Aim*,Unflinching Power Aim,Auto Rifle Reserves*,Scout Rifle Reserves,,,
Liminal Voyager Hood,4044559530,"""6917529080026714894""",,Legendary,Helmet,eververse,Warlock,10,Void Damage Resistance,4,Vault,false,false,2,4,Festival of the Lost,N/A,N/A,1,2,0,,Tier 4 Armor*,Restorative Warlock Armor*,Mobility Enhancement Mod*,Restorative Mod,Ashes to Assets*,Pump Action,Shotgun Reserves*,Sword Reserves,,,
Dragonfly Regalia Bond,606085916,"""6917529081205961729""",,Legendary,Warlock Bond,eververse,Warlock,10,Void Damage Resistance,2,Vault,false,false,2,4,,N/A,N/A,0,0,0,,Tier 2 Armor*,Insulation*,Innervation,Shotgun Scavenger*,Heavy Ammo Finder,,,,,,
Prodigal Mask,4104298449,"""6917529086503976428""",,Legendary,Helmet,,Hunter,629,Arc Damage Resistance,1,Vault,false,false,2,4,,5,2,1,1,1,,Survivalist Hunter Armor*,Plasteel Reinforcement Mod*,Restorative Mod,Tier 1 Armor*,Auto Rifle Targeting,Pump Action*,Sniper Rifle Reserves,Machine Gun Reserves*,,,
Wing Contender,1084033161,"""6917529088409464297""",,Legendary,Leg Armor,crucible,Hunter,650,Void Damage Resistance,1,Vault,false,false,2,4,,5,2,2,1,1,,Survivalist Hunter Armor*,Mobility Enhancement Mod*,Restorative Mod,Tier 1 Armor*,Monochromatic*,Traction*,Outreach,Hand Cannon Scavenger*,Scout Rifle Scavenger,,
Wing Contender,1084033161,"""6917529097610581529""",,Legendary,Leg Armor,crucible,Hunter,722,Void Damage Resistance,1,Vault,false,false,2,4,,5,2,1,1,1,,Survivalist Hunter Armor*,Mobility Enhancement Mod*,Restorative Mod,Tier 1 Armor*,Crucible Legacy*,Grenade Launcher Dexterity*,Energy Dexterity,Hand Cannon Scavenger*,Special Ammo Finder,,
Reverie Dawn Gloves,2761343386,"""6917529081333414277""",,Legendary,Gauntlets,dreaming,Warlock,597,Arc Damage Resistance,2,Vault,false,false,2,4,,5,3,1,1,1,,Mobile Warlock Armor*,Mobility Enhancement Mod,Plasteel Reinforcement Mod*,Riven's Curse*,Tier 2 Armor*,Burnished Dreams*,Rocket Launcher Loader*,Sidearm Loader,Momentum Transfer,Sniper Rifle Scavenger*,Special Ammo Finder
Wing Contender,2331227463,"""6917529088278128432""",,Legendary,Gauntlets,crucible,Hunter,650,Arc Damage Resistance,1,Vault,false,false,2,4,,5,1,2,1,0,,Survivalist Hunter Armor*,Mobility Enhancement Mod*,Plasteel Reinforcement Mod,Tier 1 Armor*,Crucible Legacy*,Fastball*,Rifle Loader,Special Ammo Finder*,Heavy Ammo Finder,,
Wing Contender,3211001969,"""6917529088561425392""",,Legendary,Chest Armor,crucible,Hunter,650,Solar Damage Resistance,2,Vault,true,false,2,4,,N/A,N/A,1,1,2,,Survivalist Hunter Armor*,Plasteel Reinforcement Mod*,Restorative Mod,Tier 2 Armor*,Precursor Vex Chrome*,Unflinching Grenade Launcher Aim,Unflinching Hand Cannon Aim*,Hand Cannon Reserves*,Sidearm Reserves,,
Ancient Apocalypse Vest,3855285278,"""6917529084758498728""",,Legendary,Chest Armor,gambit,Hunter,620,Arc Damage Resistance,1,Vault,false,false,2,4,,N/A,N/A,2,0,2,,Mobile Hunter Armor*,Plasteel Reinforcement Mod*,Restorative Mod,Tier 1 Armor*,Gambit Leather*,Unflinching Hand Cannon Aim*,Unflinching Shotgun Aim,Pulse Rifle Reserves*,Scout Rifle Reserves,,
Prodigal Vest,2766448160,"""6917529084997600504""",,Legendary,Chest Armor,,Hunter,648,Void Damage Resistance,2,Vault,false,false,2,4,,5,1,1,1,3,,Survivalist Hunter Armor*,Plasteel Reinforcement Mod*,Restorative Mod,Resilience Mod*,Tier 2 Armor*,Monochromatic*,Unflinching Hand Cannon Aim*,Unflinching Rifle Aim,Pulse Rifle Reserves,Special Ammo Finder*,
Iron Fellowship Vest,2753509502,"""6917529086578650343""",,Legendary,Chest Armor,ironbanner,Hunter,631,Void Damage Resistance,1,Vault,false,false,2,5,,N/A,N/A,2,1,2,,Mobile Hunter Armor*,Plasteel Reinforcement Mod*,Restorative Mod,Recovery Mod*,Tier 1 Armor*,Iron Strength*,Unflinching Submachine Gun Aim*,Unflinching Rifle Aim,Bow Reserves*,Primary Ammo Finder,
Scatterhorn Wraps,1069453608,"""6917529087186551813""",,Legendary,Gauntlets,tangled,Warlock,618,Void Damage Resistance,1,Vault,false,false,2,4,,N/A,N/A,1,2,0,,Restorative Warlock Armor*,Mobility Enhancement Mod*,Plasteel Reinforcement Mod,Tier 1 Armor*,Tangled Rust*,Auto Rifle Loader*,Light Arms Loader,Fusion Rifle Scavenger*,Shotgun Scavenger,,
Shadow Specter,3309120116,"""6917529097702469693""",,Rare,Chest Armor,,Hunter,708,,,Vault,false,false,2,4,,N/A,N/A,1,1,1,,Survivalist Hunter Armor*,Metallic Sunrise*,Unflinching Bow Aim*,,,,,,,,
Reverie Dawn Strides,344548395,"""6917529086182412432""",,Legendary,Leg Armor,dreaming,Hunter,631,Solar Damage Resistance,2,Vault,false,false,2,4,,5,1,2,1,1,,Survivalist Hunter Armor*,Mobility Enhancement Mod*,Restorative Mod,Riven's Curse*,Tier 2 Armor*,Burnished Dreams*,Traction*,Bomber,Enhanced Sniper Rifle Dexterity,Submachine Gun Scavenger*,Special Ammo Finder
Dragonfly Regalia Mandible,3516622758,"""6917529079394464000""",,Legendary,Helmet,eververse,Warlock,10,Solar Damage Resistance,3,Vault,false,false,2,4,,N/A,N/A,1,2,0,,Tier 3 Armor*,Restorative Warlock Armor*,Mobility Enhancement Mod*,Restorative Mod,Auto Rifle Targeting*,Scout Rifle Targeting,Grenade Launcher Reserves*,Special Ammo Finder,,,
Icarus Drifter Cape,1847870034,"""6917529085105109644""",,Legendary,Hunter Cloak,,Hunter,605,,,Vault,false,false,1,1,,5,1,0,0,0,,Masterwork Upgrade*,,,,,,,,,,
Kairos Function Boots,3924544055,"""6917529085111715876""",,Legendary,Leg Armor,mercury,Hunter,605,,,Vault,false,false,1,2,,N/A,N/A,1,1,1,,Survivalist Hunter Armor*,Mobility Enhancement Mod*,Restorative Mod,Masterwork Armor*,,,,,,,
Prodigal Grasps,2762426792,"""6917529096360693968""",,Legendary,Gauntlets,,Hunter,662,Void Damage Resistance,2,Vault,false,false,2,4,,5,1,3,0,0,,Mobile Hunter Armor*,Mobility Enhancement Mod*,Plasteel Reinforcement Mod,Tier 2 Armor*,Hand Cannon Loader*,Kinetic Weapon Loader,Linear Fusion Rifle Scavenger*,Special Ammo Finder,,,
Prodigal Vest,2766448160,"""6917529096994751048""",,Legendary,Chest Armor,,Hunter,678,Solar Damage Resistance,1,Vault,false,false,2,4,,N/A,N/A,1,1,2,,Survivalist Hunter Armor*,Plasteel Reinforcement Mod*,Restorative Mod,Tier 1 Armor*,Unflinching Shotgun Aim*,Unflinching Energy Aim,Auto Rifle Reserves*,Sidearm Reserves,,,
Ancient Apocalypse Grips,2130645994,"""6917529083477433271""",,Legendary,Gauntlets,gambit,Hunter,600,Arc Damage Resistance,1,Vault,false,false,2,4,,N/A,N/A,2,0,1,,Mobile Hunter Armor*,Mobility Enhancement Mod,Plasteel Reinforcement Mod*,Tier 1 Armor*,Precursor Vex Chrome*,Momentum Transfer,Machine Gun Loader*,Linear Fusion Rifle Scavenger,Shotgun Scavenger*,,
Wing Contender,1069887756,"""6917529086861421779""",,Legendary,Hunter Cloak,crucible,Hunter,650,Void Damage Resistance,1,Vault,false,false,2,4,,N/A,N/A,0,0,0,,Tier 1 Armor*,Crucible Legacy*,Insulation*,Better Already,Linear Fusion Rifle Reserves*,Pulse Rifle Reserves,,,,,
Reverie Dawn Grasps,1705856569,"""6917529085120992374""",,Legendary,Gauntlets,dreaming,Hunter,607,Void Damage Resistance,2,Vault,false,false,2,4,,5,3,2,1,0,,Survivalist Hunter Armor*,Mobility Enhancement Mod*,Plasteel Reinforcement Mod,Riven's Curse*,Tier 2 Armor*,Burnished Dreams*,Fusion Rifle Loader*,Submachine Gun Loader,Momentum Transfer,Grenade Launcher Scavenger*,Rocket Launcher Scavenger
Wing Discipline,1464207979,"""6917529085165834782""",,Legendary,Gauntlets,crucible,Titan,474,Solar Damage Resistance,3,Vault,false,false,2,4,,N/A,N/A,1,1,2,,Mobile Titan Armor*,Mobility Enhancement Mod,Plasteel Reinforcement Mod*,Recovery Mod*,Tier 3 Armor*,Crucible Legacy*,Auto Rifle Loader,Momentum Transfer*,Special Ammo Finder*,Heavy Ammo Finder,
